id	product_uid	product_title	search_term	relevance
150	100028	Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing	bamboo	1.67
157	100028	Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing	privacy lattice panels	2.33
158	100028	Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing	privacy panels	1.67
162	100029	DecoArt Americana Decor 16-oz. Whisper Chalky Finish	chalk paint	3
164	100030	9.1 in. x 5.8 in. White Designer Shelf Bracket	8 4616809045 9	1.67
165	100030	9.1 in. x 5.8 in. White Designer Shelf Bracket	shelf bracket	3
166	100030	9.1 in. x 5.8 in. White Designer Shelf Bracket	white 4shelves	1.67
172	100033	HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit	6 teir shelving	3
177	100033	HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit	hdx wire shelving	3
178	100033	HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit	kitchen  cabinet finishes	1
179	100033	HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit	kitchen wire shelf tiered	3
181	100033	HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit	pantry rack	2.67
182	100033	HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit	plastic storage racks	2.67
186	100033	HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit	Shelves Metal	3
191	100033	HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit	steel shelving	2.67
193	100033	HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit	storage shelve	3
195	100034	Marshalltown Masonry Brush	mortar tools	1
201	100036	Rubbermaid 12 in. D Single Track Bracket	12 boltless bracket	2.33
202	100036	Rubbermaid 12 in. D Single Track Bracket	12 in.  16 in single track brackets	2.33
203	100036	Rubbermaid 12 in. D Single Track Bracket	12 wire shelf bracket	3
205	100036	Rubbermaid 12 in. D Single Track Bracket	shelf track	2.33
210	100037	Husky 9-Pocket Maintenance Pouch	husky tool bag	2.5
214	100038	RIDGID X4 18-Volt 1/2 in. Impact Wrench (Tool Only)	impact driver drill battery powered	2.33
215	100038	RIDGID X4 18-Volt 1/2 in. Impact Wrench (Tool Only)	impact wrench	3
223	100039	Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat	pellet stove	2.33
226	100039	Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat	register for fuel	2.33
227	100039	Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat	stove and mi	2.33
233	100039	Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat	ventless gas stove	3
241	100042	American Standard Cadet 3 FloWise 2-piece 1.28 GPF Round Front Toilet in Bone	American Standard Bone round toliet	3
245	100042	American Standard Cadet 3 FloWise 2-piece 1.28 GPF Round Front Toilet in Bone	cadet 3 insulated in bone	2.33
255	100045	Sumner Street Home Hardware Grayson 2-1/2 in. Oil Rubbed Bronze Cup Pull	grayson	2.33
257	100046	HDX 6 ft. Heavy Duty Steel Green Painted T-Post	6 stell	2
259	100046	HDX 6 ft. Heavy Duty Steel Green Painted T-Post	fece posts metal	2
261	100046	HDX 6 ft. Heavy Duty Steel Green Painted T-Post	green painted pop rivets	2.33
266	100046	HDX 6 ft. Heavy Duty Steel Green Painted T-Post	post	2.67
270	100046	HDX 6 ft. Heavy Duty Steel Green Painted T-Post	wire fencing 6 ft high	1.67
272	100047	Crown Bolt 24 in. x 1/2 in. x 12 in. Plain Metal Expanded Sheet	bolt 1/2 in by 12	3
275	100047	Crown Bolt 24 in. x 1/2 in. x 12 in. Plain Metal Expanded Sheet	metal sheet	2.33
276	100047	Crown Bolt 24 in. x 1/2 in. x 12 in. Plain Metal Expanded Sheet	sheet metal	3
284	100049	Henry 587 4.75 Gal. White Roof Coating	elastomeric roof coating	2
290	100050	Hampton Bay Beverly Patio Dining Arm Chairs with Custom Cushion (2-Pack)	outdoor dining	2.67
293	100051	Hampton Bay Spring Haven Brown All-Weather Wicker Patio Lounge Chair with Sky Blue Cushions	cushions outdoorlounge	3
294	100051	Hampton Bay Spring Haven Brown All-Weather Wicker Patio Lounge Chair with Sky Blue Cushions	hampton bay spring	3
297	100051	Hampton Bay Spring Haven Brown All-Weather Wicker Patio Lounge Chair with Sky Blue Cushions	outdoorfurniture	2.33
305	100053	60 in. x 150 ft. 10/10 Remesh	wiremesh	3
314	100054	Stanley Doors 36 in. x 80 in. Chatham 3/4 Lite 1-Panel Prefinished Steel Prehung Front Door	front doors	3
318	100054	Stanley Doors 36 in. x 80 in. Chatham 3/4 Lite 1-Panel Prefinished Steel Prehung Front Door	prehung steel door	3
319	100054	Stanley Doors 36 in. x 80 in. Chatham 3/4 Lite 1-Panel Prefinished Steel Prehung Front Door	stanley doors	2.67
323	100055	MOEN Essie Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless with Soap Dispenser	kingsley moen kitchen faucet	2.33
327	100055	MOEN Essie Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless with Soap Dispenser	kitchen sink faucet	3
331	100055	MOEN Essie Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless with Soap Dispenser	pricepfister kitchen faucet g135	2
334	100055	MOEN Essie Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless with Soap Dispenser	soap dispenser	2.67
335	100055	MOEN Essie Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless with Soap Dispenser	soap dispenser kitchen	2
340	100056	Bare Ground 4 Gal. Liquid De-Icer (Case-4)	roof melter	1.33
341	100057	Owens Corning R-19 Kraft Faced Insulation Batts 15 in. x 93 in.	6 kraft faced insulation	2.33
343	100057	Owens Corning R-19 Kraft Faced Insulation Batts 15 in. x 93 in.	fiberglass insulation	2.33
346	100057	Owens Corning R-19 Kraft Faced Insulation Batts 15 in. x 93 in.	owens corning 7-3	2
347	100057	Owens Corning R-19 Kraft Faced Insulation Batts 15 in. x 93 in.	R 15	1.33
350	100057	Owens Corning R-19 Kraft Faced Insulation Batts 15 in. x 93 in.	r19 insulation	3
351	100058	Gama Sonic 40-LED Rechargeable Battery-Powered Emergency Lantern	battery lanterns	3
354	100058	Gama Sonic 40-LED Rechargeable Battery-Powered Emergency Lantern	ceiling light battery powered with remote	2.33
355	100058	Gama Sonic 40-LED Rechargeable Battery-Powered Emergency Lantern	emergency light	3
359	100059	12 in. Dia. Dark Blue Ceramic Rivage Pot	planters pots	2.67
361	100060	RDI Porch and Newel 5 in. x 5 in. x 108 in. Vinyl Turned Fence Post with 5000 lb. Capacity	5x5 post	2.33
363	100060	RDI Porch and Newel 5 in. x 5 in. x 108 in. Vinyl Turned Fence Post with 5000 lb. Capacity	column post	3
365	100060	RDI Porch and Newel 5 in. x 5 in. x 108 in. Vinyl Turned Fence Post with 5000 lb. Capacity	post	2.33
373	100063	BAZZ 10 ft. Multi-Color Self-Adhesive Cuttable Rope Lighting with Remote Control	bazz lighting	2
374	100063	BAZZ 10 ft. Multi-Color Self-Adhesive Cuttable Rope Lighting with Remote Control	led rope	2.67
375	100063	BAZZ 10 ft. Multi-Color Self-Adhesive Cuttable Rope Lighting with Remote Control	led strip lights	2.67
385	100064	TrafficMASTER Allure 6 in. x 36 in. Cherry Resilient Vinyl Plank Flooring (24 sq. ft. / case)	TILES 12*12	2.67
389	100065	Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White	10  rough toilet bowl	2.33
397	100065	Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White	delta canister 17	1.33
400	100065	Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White	glaciar bay toiled	2
401	100065	Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White	glacie bay dual flush	2.33
402	100065	Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White	glacier bay high efficiency toilet fill valve	2
403	100065	Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White	glacier bay tiolet tank lid	2.67
407	100065	Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White	handicap toilet	2.67
408	100065	Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White	handycap toilets	2.33
411	100065	Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White	high boy tolet	2.33
413	100065	Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White	kohler rosario toilet parts	1.33
418	100065	Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White	toilet bowl	2.33
421	100065	Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White	toilet flush kit	2.67
422	100065	Glacier Bay 2-piece High Efficiency Dual Flush Complete Elongated Toilet in White	toilet glacier bay	3
440	100068	Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater	60 heater gallon gas water	2.33
444	100068	Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater	gas wayer heaters	2
445	100068	Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater	heater gas	1.67
446	100068	Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater	hot water heater cost	2.67
447	100068	Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater	hot water heater gas	3
452	100068	Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater	rheem gas water heater prog40	2.67
454	100068	Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater	rheem water heater gas	3
455	100068	Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater	rheem water heater plug	2.33
456	100068	Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater	rheum water heater	3
458	100068	Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater	water heater certified	3
459	100068	Rheem Performance Plus 50 Gal. Tall 9 Year 40,000 BTU High Efficiency Natural Gas Water Heater	water heater pans	1.67
461	100069	Shark Rotator Slim-Light Lift-Away Vacuum Cleaner	shark vacuum	3
468	100070	GE 18 in. Direct Wire LED Under Cabinet Light Bar with Hi/Low/Off	under cabinet led	3
469	100070	GE 18 in. Direct Wire LED Under Cabinet Light Bar with Hi/Low/Off	under cabinet lighting	3
470	100070	GE 18 in. Direct Wire LED Under Cabinet Light Bar with Hi/Low/Off	under counter fluorescent bar light	2.33
473	100070	GE 18 in. Direct Wire LED Under Cabinet Light Bar with Hi/Low/Off	undercounter lighting	3
475	100071	Steves &amp; Sons Retrofit Prehung Primed White Steel Patio Door	doors exterior	2.33
476	100071	Steves &amp; Sons Retrofit Prehung Primed White Steel Patio Door	Double Doors	3
478	100071	Steves &amp; Sons Retrofit Prehung Primed White Steel Patio Door	prehung steel door	3
479	100071	Steves &amp; Sons Retrofit Prehung Primed White Steel Patio Door	steel patio railings	1.33
480	100072	Duck 1.41 in. x 60 yds. Blue Clean Release Masking Tape, (16-Pack)	3 blue masking tape	1.67
481	100072	Duck 1.41 in. x 60 yds. Blue Clean Release Masking Tape, (16-Pack)	masking tape	3
485	100074	Kaleen Soho Thames Beige 4 ft. x 6 ft. Area Rug	4x6	3
491	100076	4 in. x 4 in. x 5-1/3 ft. Pressure-Treated Pine 2-Hole Fence Corner Post	treated fence posts	3
492	100077	Mueller Global 3/4 in. Black Malleable Iron Threaded Tee	1/2 x 5 black pipe nipple	1.67
497	100077	Mueller Global 3/4 in. Black Malleable Iron Threaded Tee	galvanized gas tee	3
500	100078	Safavieh Courtyard Natural/Brown 8 ft. 11 in. x 12 ft. Area Rug	area rugs 9x12	2.67
501	100079	Frigidaire 18 cu. ft. Top Freezer Refrigerator in Stainless Steel	18  dishwasher	1.67
508	100081	STERLING Accord 30 in. x 60 in. x 72 in. Bath and Shower Kit in White	30' x 60 'molded one piece acrylic shower stall	2.33
511	100081	STERLING Accord 30 in. x 60 in. x 72 in. Bath and Shower Kit in White	one piece showers	2.33
516	100082	Corner Baker&#39;s Rack with Slate Top	bakers rack	3
517	100083	Shape Products Thick &amp; Strong Flat Area Well Cover	basemetnt window	1.33
524	100086	Rust-Oleum EpoxyShield 2 gal. Tan 2-Part High-Gloss Epoxy Garage Floor Coating Kit	editing garage floor	2
533	100086	Rust-Oleum EpoxyShield 2 gal. Tan 2-Part High-Gloss Epoxy Garage Floor Coating Kit	rustollum epoxy	3
536	100087	YuTrax Arch XL Folding Aluminum ATV Ramp	car ramps ends	2
542	100088	Werner 7 ft. - 9 ft., 18 in. x 24 in. Compact Aluminum Attic Ladder with 250 lb. Maximum Load Capacity	plexiglas 18' x 24'	2
544	100089	Melnor Adjustable Rear Trigger Nozzle	melnor	3
549	100090	LG Electronics 5,000 BTU 115-Volt Window Air Conditioner	A/c window unit	3
551	100090	LG Electronics 5,000 BTU 115-Volt Window Air Conditioner	air /heaterconditioner window	3
557	100090	LG Electronics 5,000 BTU 115-Volt Window Air Conditioner	room a/c units	2.67
559	100090	LG Electronics 5,000 BTU 115-Volt Window Air Conditioner	spliter ac unit	2.33
562	100090	LG Electronics 5,000 BTU 115-Volt Window Air Conditioner	window air condit	2.33
563	100090	LG Electronics 5,000 BTU 115-Volt Window Air Conditioner	Window Unit Air Conditioner/Heater	2.67
568	100092	Rust-Oleum Restore 1-gal. 4X Deck Coat	berh deck over	2.33
571	100092	Rust-Oleum Restore 1-gal. 4X Deck Coat	deck over	1.67
572	100092	Rust-Oleum Restore 1-gal. 4X Deck Coat	deck over paint	2.67
573	100092	Rust-Oleum Restore 1-gal. 4X Deck Coat	deckpaint	2.67
576	100092	Rust-Oleum Restore 1-gal. 4X Deck Coat	restore 4x	2.67
581	100093	Milwaukee M18 FUEL 18-Volt Brushless Lithium-Ion Hole Hawg 1/2 in. Right Angle Drill (Bare Tool)	milwaukee right angle	3
582	100093	Milwaukee M18 FUEL 18-Volt Brushless Lithium-Ion Hole Hawg 1/2 in. Right Angle Drill (Bare Tool)	milwaukee stone hole drill	3
583	100093	Milwaukee M18 FUEL 18-Volt Brushless Lithium-Ion Hole Hawg 1/2 in. Right Angle Drill (Bare Tool)	pneumatic right angle drill	2.67
584	100093	Milwaukee M18 FUEL 18-Volt Brushless Lithium-Ion Hole Hawg 1/2 in. Right Angle Drill (Bare Tool)	right angle drill	3
585	100094	Ariens Deluxe 28 in. Two-Stage Electric Start Gas Snow Blower with Auto-Turn Steering	28 snow thower	3
591	100094	Ariens Deluxe 28 in. Two-Stage Electric Start Gas Snow Blower with Auto-Turn Steering	gas snowblower trailer	2.33
593	100094	Ariens Deluxe 28 in. Two-Stage Electric Start Gas Snow Blower with Auto-Turn Steering	toro snow blowers gas	1.33
595	100095	GE Adora 5.0 cu. ft. Gas Range with Self-Cleaning Convection Oven in Stainless Steel	gas gridlee	2
600	100095	GE Adora 5.0 cu. ft. Gas Range with Self-Cleaning Convection Oven in Stainless Steel	ge adora range	3
605	100096	Woodgrain Millwork LWM 623 1/2 in. x 3-1/4 in. x 96 in. Primed MDF Base Moulding	base board molding boundle	2
606	100096	Woodgrain Millwork LWM 623 1/2 in. x 3-1/4 in. x 96 in. Primed MDF Base Moulding	crown molding mdf	2.67
611	100096	Woodgrain Millwork LWM 623 1/2 in. x 3-1/4 in. x 96 in. Primed MDF Base Moulding	wall wood	2.67
619	100097	Hampton Bay Woodbury 7-Piece Patio Dining Set with Dragonfruit Cushion	hampton bay set 7-piece led aluminum	2.33
626	100098	Gardener&#39;s Blue Ribbon 16 in. Plastic Rolling Plant Caddy	plants moses in a cradle	1.33
630	100100	Dimex EasyFlex 24 ft. Aluminum Landscape Edging Project Kit in Black	landscape edging	3
634	100101	Intertape Polymer Group PG 21 2.0 in. x 60 yd. Lacquer Resistant Performance Grade Masking Tape (6-Pack)	intertape duct tape 3pk	1.67
635	100101	Intertape Polymer Group PG 21 2.0 in. x 60 yd. Lacquer Resistant Performance Grade Masking Tape (6-Pack)	masking tape	3
636	100102	Teks #12 1-1/2 in. External Hex Flange Hex-Head Self-Drilling Screws (80-Pack)	1 black self tapping screws	2.67
637	100102	Teks #12 1-1/2 in. External Hex Flange Hex-Head Self-Drilling Screws (80-Pack)	1 infloor flange	2
640	100104	GE All Purpose Silicone I 10.1-oz. Clear Window and Door Caulk	10 window sping rod	1.67
642	100104	GE All Purpose Silicone I 10.1-oz. Clear Window and Door Caulk	clear silicone caulk windows doors	2.33
643	100104	GE All Purpose Silicone I 10.1-oz. Clear Window and Door Caulk	silicone	3
644	100105	RIDGID X4 18-Volt Lithium-Ion Cordless Drill and Impact Driver Combo Kit (2-Tool)	combo powertool kit	2.67
646	100105	RIDGID X4 18-Volt Lithium-Ion Cordless Drill and Impact Driver Combo Kit (2-Tool)	desalt impact 18	2.67
652	100105	RIDGID X4 18-Volt Lithium-Ion Cordless Drill and Impact Driver Combo Kit (2-Tool)	rigid lithium ion batteries fuego drill	2.33
653	100106	Sun Joe Shredder Joe 12 in. 13 Amp 16:1 Reduction Ratio Electric Leaf Mulcher/Shredder	chipper	1.25
659	100108	American Standard Colorado FloWise Elongated Toilet Bowl Only in White	bidet	2.33
660	100109	Shark Navigator Lift-Away Deluxe Bagless Vacuum Cleaner with Appliance Wand	shark cleaner	3
661	100109	Shark Navigator Lift-Away Deluxe Bagless Vacuum Cleaner with Appliance Wand	shark vacuum	3
662	100110	Ryobi Expand-It 10 in. Universal Pole Saw Attachment	expand it universal products	2.33
663	100110	Ryobi Expand-It 10 in. Universal Pole Saw Attachment	pole saw	2.67
666	100110	Ryobi Expand-It 10 in. Universal Pole Saw Attachment	ryobi pole saw	2.67
668	100110	Ryobi Expand-It 10 in. Universal Pole Saw Attachment	ryobi trimmers	2.67
669	100110	Ryobi Expand-It 10 in. Universal Pole Saw Attachment	trimmer attachment	2
670	100111	Prime-Line Fiberglass Screening Kit with Rolling Tool	fiberglass repair kit	3
671	100111	Prime-Line Fiberglass Screening Kit with Rolling Tool	fiberglass repir kit	1.67
674	100112	Rug Doctor Universal Upholstery Hand Tool Attachment	rug doctor carpet cleaner	2
677	100113	Amerelle Line Voltage Halogen Bronze Pucks (5-Pack)	under cabinet lighting	2.67
679	100114	Baled Pine Straw	pine straw	3
680	100115	MasterPiece 71-1/4 in. x 79-1/2 in. Composite Right-Hand Woodgrain Interior Blinds Between Glass Sliding Patio Door	andersen sliding right hand doors with blinds	3
682	100115	MasterPiece 71-1/4 in. x 79-1/2 in. Composite Right-Hand Woodgrain Interior Blinds Between Glass Sliding Patio Door	doors exterior	2
686	100116	LG Electronics 10,000 BTU Portable Air Conditioner and Dehumidifier Function with Remote in White	10000 btu portable ac	3
687	100116	LG Electronics 10,000 BTU Portable Air Conditioner and Dehumidifier Function with Remote in White	portable air condtioners	3
688	100117	Home Decorators Collection Corner Desk in Espresso	computer desk	2
690	100118	Jameson Heavy Duty Pruner and Pole Package	tree pruner	2.67
691	100119	Purdy 2 in. A. P. All Paints Brush Set (3-Pack)	2 paint brush pack	2.67
696	100119	Purdy 2 in. A. P. All Paints Brush Set (3-Pack)	paint roller inserts	1
700	100120	DEWALT 2.4-amp 1/4-Sheet Pad Sander	hand sander	3
712	100124	Champion Power Equipment 3,100 Watt Gasoline Powered Wireless Remote Start Inverter Generator with Free Cover	inverter generator	3
713	100125	Delta Foundations Single-Handle Kitchen Faucet in Chrome	delta faucet handles	3
715	100125	Delta Foundations Single-Handle Kitchen Faucet in Chrome	kitchen faucet delta	2.33
718	100125	Delta Foundations Single-Handle Kitchen Faucet in Chrome	kitchen sink faucet	3
722	100125	Delta Foundations Single-Handle Kitchen Faucet in Chrome	pricepfister kitchen faucet g135	2.33
726	100126	InSinkErator Involve H-View Instant Hot Water Dispenser System in Satin Nickel	hot water dispenser	2.67
731	100127	RapidAir 3/8 in. Plastic Tubing Clamp (12-Pack)	plastic tubing	2.33
734	100128	Proslat 32 sq. ft. White Wall Panel Kit	garage chair organizer	1
737	100128	Proslat 32 sq. ft. White Wall Panel Kit	slatwall	3
739	100128	Proslat 32 sq. ft. White Wall Panel Kit	wall board	2.67
740	100128	Proslat 32 sq. ft. White Wall Panel Kit	wall pannels	2.67
742	100129	Sundstrom Safety Silicone Half Mask Respirator	face masks	1
743	100129	Sundstrom Safety Silicone Half Mask Respirator	respirator	3
745	100130	Terro Outdoor Liquid Ant Stake	ant killer	3
748	100131	Leaktite 5-gal. Homer Leakproof Lid	5 gal buckets	1.67
749	100131	Leaktite 5-gal. Homer Leakproof Lid	5gal bucket	1.67
751	100131	Leaktite 5-gal. Homer Leakproof Lid	college homer bucket	2
753	100131	Leaktite 5-gal. Homer Leakproof Lid	paint pails	1.67
756	100132	Hampton Bay 66 in. Satin Nickel Floor Lamp	lamp	3
758	100133	2 in. x 4 in. x 104-5/8 in. Kiln-Dried Whitewood Stud	2*3 stud	2.33
759	100133	2 in. x 4 in. x 104-5/8 in. Kiln-Dried Whitewood Stud	2X4 SRUDS	3
760	100133	2 in. x 4 in. x 104-5/8 in. Kiln-Dried Whitewood Stud	lumber 2x4	3
763	100134	Frost King E/O 84 in. x 110 in. Patio Shrink Window Insulation Kit	frostking window shrink film	2.67
764	100134	Frost King E/O 84 in. x 110 in. Patio Shrink Window Insulation Kit	plastic covers	1
765	100134	Frost King E/O 84 in. x 110 in. Patio Shrink Window Insulation Kit	plastic film	1.67
771	100134	Frost King E/O 84 in. x 110 in. Patio Shrink Window Insulation Kit	window removable weather strip	2.33
773	100134	Frost King E/O 84 in. x 110 in. Patio Shrink Window Insulation Kit	wrap around plastic light covers	1.33
778	100135	Pelican Water 10 GPM Whole House Carbon Water Filter System for Homes with 1-3 Bathrooms	water trap moisture filter	2
784	100138	Philips 4 ft. T8 32-Watt Daylight (6500K) ALTO Linear Fluorescent Light Bulb (10-Pack)	4   lights bulbs	3
787	100138	Philips 4 ft. T8 32-Watt Daylight (6500K) ALTO Linear Fluorescent Light Bulb (10-Pack)	Florescent Light Bulbs	3
790	100138	Philips 4 ft. T8 32-Watt Daylight (6500K) ALTO Linear Fluorescent Light Bulb (10-Pack)	fluorescent fixture	1.67
791	100138	Philips 4 ft. T8 32-Watt Daylight (6500K) ALTO Linear Fluorescent Light Bulb (10-Pack)	fluorescent light  ballet	1.67
800	100138	Philips 4 ft. T8 32-Watt Daylight (6500K) ALTO Linear Fluorescent Light Bulb (10-Pack)	t8 light	3
801	100138	Philips 4 ft. T8 32-Watt Daylight (6500K) ALTO Linear Fluorescent Light Bulb (10-Pack)	violet flourescent light	1.67
811	100140	Honda GCV190 21 in. Variable Speed Self-Propelled Walk-Behind Gas Mower	lawn mower- electic	2.33
812	100140	Honda GCV190 21 in. Variable Speed Self-Propelled Walk-Behind Gas Mower	Lawnmowers	3
